ticker,projected_5yr_growth,implied_vol
FB,7.53%,2.370853682250976
AMZN,40.50%,17.064518827495576
AAPL,9.91%,20.671878540039067
NFLX,12.42%,15.181641136474608
GOOG,17.06%,25.53906451904297
TSLA,39.73%,24.921877211914065
WFC,7.29%,4.500004375
V,18.14%,13.457032839355467
CVX,17.78%,6.87500140625
ADBE,14.25%,16.252446327362065
WDC,20.00%,6.7500015625000005
EBAY,9.73%,4.187504765625
SNPS,16.20%,8.569828862609864
WDAY,13.91%,15.578125263671875
JNPR,13.86%,4.500004375
CRM,15.13%,7.2187509765625
VMW,6.24%,4.437748593444823
GILD,-1.35%,8.259770462646483
TWTR,101.40%,3.3334977600097653
NVDA,24.55%,17.31641083862305
PANW,24.69%,22.068362478637695
